IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
130.162.53.5,443,443,true,FRA,Europe,DE,Frankfurt,245,9.05
193.123.56.189,443,443,true,FRA,Europe,DE,Frankfurt,453,9.05
193.123.39.119,443,443,true,FRA,Europe,DE,Frankfurt,430,9.04
79.72.87.18,443,443,true,FRA,Europe,DE,Frankfurt,271,9.04
141.144.207.34,443,443,true,FRA,Europe,DE,Frankfurt,319,9.00
152.70.28.179,443,443,true,FRA,Europe,DE,Frankfurt,382,8.99
158.180.35.134,443,443,true,FRA,Europe,DE,Frankfurt,287,8.98
130.162.225.199,443,443,true,FRA,Europe,DE,Frankfurt,186,8.97
158.180.19.112,443,443,true,FRA,Europe,DE,Frankfurt,302,8.94
150.230.42.80,443,443,true,SJC,North America,US,San Jose,232,8.93
79.72.67.206,443,443,true,FRA,Europe,DE,Frankfurt,321,8.92
192.9.138.241,443,443,true,SJC,North America,US,San Jose,281,8.92
79.72.94.12,443,443,true,FRA,Europe,DE,Frankfurt,296,8.91
152.67.133.195,443,443,true,FRA,Europe,DE,Frankfurt,423,8.89
158.178.192.221,443,443,true,CDG,Europe,FR,Paris,412,8.88
130.162.41.167,443,443,true,CDG,Europe,FR,Paris,292,8.87
141.147.31.187,443,443,true,FRA,Europe,DE,Frankfurt,380,8.85
130.162.222.97,443,443,true,FRA,Europe,DE,Frankfurt,364,8.84
143.47.255.4,443,443,true,FRA,Europe,DE,Frankfurt,320,8.81
141.148.245.184,443,443,true,FRA,Europe,DE,Frankfurt,252,8.79
193.123.56.130,443,443,true,FRA,Europe,DE,Frankfurt,452,8.78
89.168.105.131,443,443,true,FRA,Europe,DE,Frankfurt,316,8.75
165.1.79.60,8443,443,true,SJC,North America,US,San Jose,174,8.73
144.21.62.14,443,443,true,FRA,Europe,DE,Frankfurt,182,8.69
158.180.19.129,443,443,true,FRA,Europe,DE,Frankfurt,249,8.66
130.162.186.98,443,443,true,FRA,Europe,DE,Frankfurt,331,8.66
89.168.68.228,443,443,true,FRA,Europe,DE,Frankfurt,356,8.63
132.226.195.106,443,443,true,ORD,North America,US,Chicago,257,8.60
79.72.65.230,443,443,true,FRA,Europe,DE,Frankfurt,305,8.58
152.70.25.21,443,443,true,FRA,Europe,DE,Frankfurt,376,8.57
143.47.177.12,443,443,true,FRA,Europe,DE,Frankfurt,323,8.56
130.162.247.168,443,443,true,FRA,Europe,DE,Frankfurt,212,8.48
158.180.49.196,443,443,true,FRA,Europe,DE,Frankfurt,229,8.47
