IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
130.162.160.221,443,443,true,FRA,Europe,DE,Frankfurt,343,8.71
132.226.208.32,443,443,true,FRA,Europe,DE,Frankfurt,240,8.68
141.148.230.128,443,443,true,FRA,Europe,DE,Frankfurt,302,8.68
84.8.147.109,443,443,true,FRA,Europe,DE,Frankfurt,305,8.68
141.148.246.88,443,443,true,FRA,Europe,DE,Frankfurt,415,8.68
141.147.51.236,443,443,true,FRA,Europe,DE,Frankfurt,275,8.67
132.226.209.180,443,443,true,FRA,Europe,DE,Frankfurt,191,8.67
144.21.42.243,443,443,true,FRA,Europe,DE,Frankfurt,216,8.66
150.230.113.235,443,443,true,FRA,Europe,DE,Frankfurt,196,8.66
152.70.155.147,2096,2096,true,LAX,North America,US,Los Angeles,205,8.64
132.145.234.167,443,443,true,FRA,Europe,DE,Frankfurt,258,8.62
158.180.43.113,443,443,true,FRA,Europe,DE,Frankfurt,268,8.58
141.147.98.96,443,443,true,FRA,Europe,DE,Frankfurt,364,8.47
143.47.246.154,443,443,true,FRA,Europe,DE,Frankfurt,310,8.44
141.148.231.88,443,443,true,FRA,Europe,DE,Frankfurt,305,8.40
158.101.181.88,443,443,true,YYZ,North America,CA,Toronto,303,8.39
158.178.151.6,443,443,true,FRA,Europe,DE,Frankfurt,257,8.35
141.147.23.247,443,443,true,FRA,Europe,DE,Frankfurt,349,8.35
79.72.83.41,443,443,true,FRA,Europe,DE,Frankfurt,210,8.32
141.147.88.173,443,443,true,FRA,Europe,DE,Frankfurt,378,8.29
143.47.188.133,443,443,true,FRA,Europe,DE,Frankfurt,292,8.27
193.122.61.174,443,443,true,FRA,Europe,DE,Frankfurt,199,8.25
141.144.195.18,443,443,true,FRA,Europe,DE,Frankfurt,247,8.23
158.178.145.65,443,443,true,FRA,Europe,DE,Frankfurt,269,8.21
129.151.244.9,443,443,true,MRS,Europe,FR,Marseille,338,8.19
141.144.206.211,443,443,true,FRA,Europe,DE,Frankfurt,246,8.18
141.147.116.4,443,443,true,FRA,Europe,DE,Frankfurt,417,8.15
158.178.146.130,443,443,true,FRA,Europe,DE,Frankfurt,311,8.15
204.216.105.106,8443,8443,true,YUL,North America,CA,Montréal,344,8.14
138.2.179.50,443,443,true,FRA,Europe,DE,Frankfurt,275,8.13
140.238.95.86,443,443,true,FRA,Europe,DE,Frankfurt,299,8.12
158.178.192.221,443,443,true,CDG,Europe,FR,Paris,411,8.08
84.235.169.69,443,443,true,FRA,Europe,DE,Frankfurt,235,8.06
79.72.92.135,443,443,true,FRA,Europe,DE,Frankfurt,328,8.06
158.180.13.254,443,443,true,FRA,Europe,DE,Frankfurt,220,8.06
158.180.29.172,443,443,true,FRA,Europe,DE,Frankfurt,305,8.04
79.72.78.162,443,443,true,FRA,Europe,DE,Frankfurt,234,8.02
140.238.83.241,443,443,true,FRA,Europe,DE,Frankfurt,269,8.01
79.72.92.126,443,443,true,FRA,Europe,DE,Frankfurt,314,8.01
141.148.234.222,443,443,true,FRA,Europe,DE,Frankfurt,320,7.96
141.147.48.207,443,443,true,FRA,Europe,DE,Frankfurt,254,7.95
158.180.13.157,443,443,true,FRA,Europe,DE,Frankfurt,228,7.94
141.147.99.62,443,443,true,FRA,Europe,DE,Frankfurt,395,7.92
164.152.26.70,2052,443,true,ORD,North America,US,Chicago,217,7.91
79.72.92.193,443,443,true,FRA,Europe,DE,Frankfurt,230,7.89
144.21.43.114,443,443,true,CDG,Europe,FR,Paris,176,7.84
141.147.55.211,443,443,true,FRA,Europe,DE,Frankfurt,263,7.83
143.47.227.90,443,443,true,FRA,Europe,DE,Frankfurt,235,7.80
141.144.194.216,443,443,true,FRA,Europe,DE,Frankfurt,296,7.80
132.145.54.84,2053,443,true,LHR,Europe,GB,London,311,7.77
152.70.155.147,2053,2053,true,LAX,North America,US,Los Angeles,348,7.76
152.67.142.36,443,443,true,FRA,Europe,DE,Frankfurt,360,7.73
141.147.119.14,443,443,true,FRA,Europe,DE,Frankfurt,368,7.71
141.147.109.38,443,443,true,FRA,Europe,DE,Frankfurt,375,7.67
152.70.180.149,443,443,true,FRA,Europe,DE,Frankfurt,295,7.57
130.162.246.62,443,443,true,FRA,Europe,DE,Frankfurt,297,7.51
158.180.19.57,443,443,true,FRA,Europe,DE,Frankfurt,261,7.47
130.162.173.127,443,443,true,FRA,Europe,DE,Frankfurt,207,7.43
141.147.91.3,443,443,true,FRA,Europe,DE,Frankfurt,402,7.34
143.47.251.26,443,443,true,FRA,Europe,DE,Frankfurt,252,7.34
130.162.188.113,443,443,true,FRA,Europe,DE,Frankfurt,240,7.29
141.147.64.200,443,443,true,CDG,Europe,FR,Paris,408,7.26
143.47.189.249,443,443,true,FRA,Europe,DE,Frankfurt,267,7.21
150.230.127.161,443,443,true,FRA,Europe,DE,Frankfurt,239,7.18
141.147.61.116,8443,443,true,FRA,Europe,DE,Frankfurt,374,7.17
143.47.225.143,443,443,true,FRA,Europe,DE,Frankfurt,254,7.16
130.61.170.78,443,443,true,CDG,Europe,FR,Paris,269,7.16
