IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.215.25.25,8080,80,false,ORD,North America,US,Chicago,200,0.00
34.215.25.25,80,80,false,ORD,North America,US,Chicago,200,0.00
34.215.25.25,2086,80,false,ORD,North America,US,Chicago,206,0.00
34.215.25.25,443,80,false,ORD,North America,US,Chicago,197,0.00
34.215.25.25,2082,80,false,ORD,North America,US,Chicago,202,0.00
34.215.25.25,2095,80,false,ORD,North America,US,Chicago,196,0.00
34.215.25.25,8880,80,false,ORD,North America,US,Chicago,194,0.00
34.215.25.25,8443,80,false,ORD,North America,US,Chicago,197,0.00
44.243.109.79,2095,80,false,ORD,North America,US,Chicago,194,0.00
44.243.109.79,2083,80,false,ORD,North America,US,Chicago,199,0.00
44.243.109.79,443,80,false,ORD,North America,US,Chicago,200,0.00
44.243.109.79,2082,80,false,ORD,North America,US,Chicago,196,0.00
44.243.109.79,8080,80,false,ORD,North America,US,Chicago,198,0.00
44.243.109.79,2053,80,false,ORD,North America,US,Chicago,197,0.00
44.243.109.79,2052,80,false,ORD,North America,US,Chicago,202,0.00
44.243.109.79,2086,80,false,ORD,North America,US,Chicago,199,0.00
44.243.109.79,2087,80,false,ORD,North America,US,Chicago,197,0.00
44.243.109.79,8880,80,false,ORD,North America,US,Chicago,197,0.00
13.235.91.253,2086,80,false,ORD,North America,US,Chicago,124,0.00
13.235.91.253,8880,80,false,ORD,North America,US,Chicago,156,0.00
13.235.91.253,80,80,false,ORD,North America,US,Chicago,205,0.00
13.235.91.253,2083,80,false,ORD,North America,US,Chicago,129,0.00
13.235.91.253,443,80,false,ORD,North America,US,Chicago,122,0.00
13.235.91.253,2095,80,false,ORD,North America,US,Chicago,200,0.00
13.235.91.253,8443,80,false,ORD,North America,US,Chicago,199,0.00
13.235.91.253,8080,80,false,ORD,North America,US,Chicago,132,0.00
52.66.152.200,2083,80,false,ORD,North America,US,Chicago,61,0.00
13.127.74.176,2086,80,false,ORD,North America,US,Chicago,125,0.00
13.127.74.176,8443,80,false,ORD,North America,US,Chicago,127,0.00
13.127.74.176,8080,80,false,ORD,North America,US,Chicago,104,0.00
13.127.74.176,2053,80,false,ORD,North America,US,Chicago,62,0.00
13.127.74.176,2096,80,false,ORD,North America,US,Chicago,69,0.00
13.127.74.176,2095,80,false,ORD,North America,US,Chicago,123,0.00
13.127.74.176,2087,80,false,ORD,North America,US,Chicago,67,0.00
13.127.74.176,80,80,false,ORD,North America,US,Chicago,66,0.00
13.127.74.176,2052,80,false,ORD,North America,US,Chicago,65,0.00
13.127.74.176,2083,80,false,ORD,North America,US,Chicago,120,0.00
13.127.74.176,8880,80,false,ORD,North America,US,Chicago,182,0.00
13.232.202.46,2083,80,false,ORD,North America,US,Chicago,129,0.00
13.232.202.46,2095,80,false,ORD,North America,US,Chicago,135,0.00
13.232.202.46,8443,80,false,ORD,North America,US,Chicago,143,0.00
13.232.202.46,2086,80,false,ORD,North America,US,Chicago,110,0.00
13.232.202.46,2053,80,false,ORD,North America,US,Chicago,181,0.00
13.232.202.46,2087,80,false,ORD,North America,US,Chicago,166,0.00
13.232.202.46,80,80,false,ORD,North America,US,Chicago,122,0.00
18.134.97.109,2053,80,false,ORD,North America,US,Chicago,167,0.00
34.213.178.155,2082,80,false,ORD,North America,US,Chicago,199,0.00
