IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.91.225.232,8443,443,true,ARN,Europe,SE,Stockholm,482,11.18
20.240.254.247,2053,443,true,ARN,Europe,SE,Stockholm,176,11.05
4.219.15.140,8443,443,true,CPH,Europe,DK,Copenhagen,194,10.88
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,188,10.88
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,251,10.58
20.33.62.19,2083,443,true,LHR,Europe,GB,London,439,10.10
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,271,9.77
4.182.90.213,443,443,true,FRA,Europe,DE,Frankfurt,340,9.72
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,400,9.65
40.87.50.39,443,443,true,IAD,North America,US,Ashburn,398,9.37
158.23.168.120,443,443,true,DFW,North America,US,Dallas,285,9.27
172.191.132.64,443,443,true,IAD,North America,US,Ashburn,545,9.04
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,438,8.99
4.255.56.138,443,443,true,IAD,North America,US,Ashburn,406,8.96
74.249.233.213,443,443,true,ORD,North America,US,Chicago,196,8.83
172.212.108.47,443,443,true,IAD,North America,US,Ashburn,475,8.77
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,228,8.73
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,364,8.43
20.151.90.208,8443,443,true,YYZ,North America,CA,Toronto,280,8.37
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,569,8.33
20.151.60.161,8443,443,true,YYZ,North America,CA,Toronto,408,8.31
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,273,8.30
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,388,8.25
20.151.63.165,8443,443,true,YYZ,North America,CA,Toronto,306,8.16
20.221.32.145,443,443,true,ORD,North America,US,Chicago,386,8.08
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,423,8.08
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,546,8.03
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,296,8.00
20.228.249.211,2053,443,true,IAD,North America,US,Ashburn,345,7.99
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,365,7.98
48.217.34.120,443,443,true,IAD,North America,US,Ashburn,270,7.98
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,368,7.94
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,336,7.89
20.200.127.8,8443,443,true,YYZ,North America,CA,Toronto,415,7.89
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,444,7.80
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,242,7.68
20.151.238.192,8443,443,true,YYZ,North America,CA,Toronto,490,7.67
137.116.91.147,8443,443,true,IAD,North America,US,Ashburn,334,7.55
20.62.172.88,443,443,true,IAD,North America,US,Ashburn,340,7.53
20.109.23.42,443,443,true,IAD,North America,US,Ashburn,301,7.53
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,219,7.43
172.200.2.241,443,443,true,IAD,North America,US,Ashburn,296,7.37
104.46.101.90,8443,443,true,IAD,North America,US,Ashburn,448,7.16
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,254,7.13
40.79.73.114,8443,443,true,IAD,North America,US,Ashburn,225,7.13
172.174.249.255,443,443,true,IAD,North America,US,Ashburn,365,7.09
4.239.248.70,8443,443,true,YYZ,North America,CA,Toronto,323,6.97
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,382,6.89
104.46.111.142,8443,443,true,IAD,North America,US,Ashburn,398,6.62
4.248.47.209,8443,443,true,YUL,North America,CA,Montréal,417,6.43
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,281,6.34
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,281,6.34
4.152.146.110,443,443,true,IAD,North America,US,Ashburn,221,6.23
172.177.248.69,8443,443,true,IAD,North America,US,Ashburn,518,6.22
40.123.47.252,8443,443,true,IAD,North America,US,Ashburn,380,6.06
104.210.3.231,8443,443,true,IAD,North America,US,Ashburn,380,5.92
20.74.223.241,443,443,true,ORD,North America,US,Chicago,436,4.06
191.235.86.71,2053,443,true,GRU,South America,BR,São Paulo,428,3.97
191.235.86.71,8443,443,true,GRU,South America,BR,São Paulo,359,3.93
20.220.204.217,443,443,true,YYZ,North America,CA,Toronto,291,0.07
